SAMPLE_SOURCE, SAMPLE_TRANSCRIPT, ARTIST, RECORDING, RELEASE
"In the Mouth of Madness","All those horrible slimy things trying to get back in @ 3:36
  [screams and strange background noises] @ 5:35","Front Line Assembly","Epidemic","Circuitry (EP)"
"In the Mouth of Madness","Religion seeks discipline through fear ... it doesn't understand the 
   true nature of creation. No one's ever believed in it enough to make 
   it real. @ 0:43","Noise Unit","Drain, The","Drill"
"In the Mouth of Madness","This is not reality. Not reality, Not reality. This. is. reality.
   HAHAHAHAHAHA","Saturn 9","Wait Until Dark","Wait Until Dark"
"In the Mouth of Madness","Der Tod ist launisch, gerade für die letzten die gehen. Und in zehn Jahren,
   vielleicht schon früher, wird die menschliche Rasse nichts weiter als ein
   böser Traum gewesen sein, von den Spiralnebeln belächelt. Ein Mythos. 
   Weggewischt. @ 5:58 (Note: Sam Neill as John Trent.)
  (Note: Taken from the german dubbed version Die Mächte des Wahnsinns)","Solitary Experiments","Wasteland","Advance into Unknown"
"Network","There is no America, there is no democracy, there is only IBM and ITT and 
   ATT and Dupont, Dowell, Union Carbide, and Exxon","Consolidated","America number one","Myth of Rock, The"
"Network","I'm Mad as Hell and I'm not going to take it anymore!
  [the sound of the crowds yelling the previous out of their windows]","D.H.S.","Bad Acid #9","House of God, The"
"Network","I don't have to tell you things are bad. Everybody knows things are
   bad. @ 0:25 (Note: Howard Beale)
  We know the air is unfit to breathe, our food is unfit to
   eat. @ 0:42, 3:51 (Note: Howard Beale)
  Television is not the truth! @ 1:04 (Note: Howard Beale)
  Listen to me! @ 1:06 (Note: Howard Beale)
  I'm a human being, god dammit, my life has value! @ 2:12 (Note: Howard
   Beale)","din_fiv","Conspiracy","Escape to Reality"
"Network","I'm a human being, damnit! (Note: Howard Beale)
  I'm mad as hell. (Note: Howard Beale)
  (Note: This was a very vague and not complete contribution. Apparently there
   should be more samples from Network in this song but the contributor was
   not very precise in his information. Can someone please double check and
   send in updates and timing indications?)","Limbomaniacs","Maniac","Stinky Grooves"
"Network","I want you to get up, go to the window, open it, stick your head out and
   yell: I'm as mas as hell, and I'm not going to take this anymore **
  There is no america, there is no democracy *
  There is only IBM, ITT, Union Carbide and Exxon *
  There is only one holistic system of systems. One vast and immane,
   interwoven, interactive, multivariate, multinational, dominion of
   dollars. @ 3:40 * (Note: Ned Beatty)
  Petro-dollars, electro-dollars, multi-dollars, reichmarks, rins, rubles,
   pounds, and shekels! It is the international system of currency which
   determines the vitality of life on this planet. That is the natural order
   of things today. That is the atomic and subatomic and galactic structure
   of things today! @ 4:09 * (Note: Ned Beatty)","Snog","Corporate Slave","Remote Control"
"Network","Punks are running wild in the street and nobody seems to know what to do
   and there's no end to it.  It's like everything ever where is going crazy
   so we don't go out anymore.  We sit in the house and slowly the world we're
   living is getting smaller and all we say is 'Please at least leave us alone
   in our living room, just leave us alone!'  Well I'm not leaving you alone!","Sublime","We're Only Gonna Die for our Arrogance","40 Oz. to Freedom"
"Network","I'm mad as hell and I'm not going to take this anymore","Therapy?","Disgracelands (New Recording)","Lonely, Cryin' Only (Single)"
"Barbarella","La la la la la la
  I'm from the planet Earth.
  My name is Barbarella.
  Barbarella.
  Barbarella. (Note: Different than above)","Barbarella","My Name Is Barbarella","Art of Dance, The"
"Barbarella","What do you think of when you make love to Barbarella? An angel doesn't 
   make love, an angel is love.
  Barbarella.
  And you are the girl.  Let's do it.
  Barbarella.  (Note: Different than above)","Barbarella","Secret Chamber of Dreams, The","Art of Dance, The"
"Barbarella","I don't want to hurt you.
  Space","Barbarella","Space Ship, The","Art of Dance, The"
"Barbarella","The guard patrol has spotted him...","Barbarella","Mission, The","Art of Dance, The"
"Barbarella","Pretty pretty. @ 1:12 (Note: Repeated throughout the song)
  Come on, untie me! @ 1:56","Chris and Cosey","Rise","Trust"
"Barbarella","Find Duran Duran","Duran Duran","Decadance","Decadance/Burning the Ground 12""
"Barbarella","Attention: Set your atom transmitter at 035.
  This girl pretty pretty.","Erasure","Sweet Sweet Baby","Drama (CD5 Single)"
"Barbarella","La la la la la la @ 0:07","","",""
"Devils, The","Fornicator, Fornicator. Sacreligious bitch!","Android Lust","In the Arms of the Heretic","Revolution"
"Devils, The","The Anti-Christ has spoken. @ 0:15, 0:23, 0:37","Decoded Feedback","Deep Emotion","Technophoby"
"Devils, The","The Anti-Christ has spoken!
  Forgive me","Kode IV","Antichrist, The","Insane"
"Devils, The","Your accused of being in league with the devil! @ 0:13 (Note: Baron de
   Laubardemont)
  You speak with many voices @ 0:18 (Note: Father Barre)
  Mercy! Mercy! Unhand me you christ loving runt! @ 0:22, 2:15 (Note:
   Sister Jeanne)
  The Anti-Christ has spoken! @ 0:29, 2:22 (Note: Father Barre)
  You speak with many voices... Christ protect me from the fangs of
   Satan @ 1:27 (Note: Father Barre)","Mentallo & The Fixer","Afterglow","Where Angels Fear To Tread"
"Devils, The","You have been found guilty of commerce with the devil @ 2:10
  State your confession @ 2:13
  Confess! Confess! @ 2:24
  The Anti-Christ @ 2:46","Ministry","Golden Dawn","Land of Rape and Honey, The"
"Devils, The","Fornicator! Fornicator! Sacrilegious bitch! @ 1:22, 4:45 (Note: Vanessa 
   Redgrave. Partly used at 3:32 as well)","Skinny Puppy","Fascist Jock Itch","Rabies"
"Devils, The","You are accused of being in league with the devil!
  These raving women are possessed by devils","Wishdokta","Evil Surrounds Us","Kickin' Techno"
"Fifth Element, The","When the three planets are in eclipse, a black hole like a door is opened!
   Evil comes, spreading terror and chaos. @ 0:22, 2:03
  Evil comes. @ 0:41, 0:48, 4:08
  The ultimate evil. @ 0:35, 1:03, 1:45, 2:14, 3:24, 3:38, 4:50","Agonoize","Open the Gate","Evilution"
"Fifth Element, The","I know this music. Let's change the beat. @ 2:30 (Note: Gary Oldman 
  playing Jean-Baptiste Emanuel Zorg)","Apoptygma Berzerk","Paranoia","Welcome to Earth"
"Fifth Element, The","[The character Leeloo says her full name in her native 
    language] @ 0:23 (Note: Repeated many times throughout the song)","Aslan Faction","Weep For Me","Sin-Drome Of Separation"
"Fifth Element, The","When the three planets are in eclipse, a big hole like a door is open.
   Evil comes spreading terror and chaos. See the snake Billy? The ultimate
   evil. @ 0:02
  Ultimate evil @ 0:29, 0:54","C-Drone-Defect","Few, The","Neural Dysorder Syndrome"
"Fifth Element, The","You see here these different peoples, or symbols of people, gathering 
   together the four elements of life, water, fire, earth, air, around a 
   fifth one, a fifth element. @ 0:09","Noxious Emotion","Nobelium","Elements"
"Fifth Element, The","Reconstruction complete. @ 0:50 (Note: After reconstructing Leeloo)
  Reconstruction... Reconstruction @ 0:45, 1:35, 2:51 (Note: After
   reconstructing Leeloo)","Void Construct","Construct","Estramay Aleph"
"Fifth Element, The","When the three planets are in eclipse, a black hole like a door is opened!
   Evil comes... @ 0:19 (Note: Professor Pacoli)
  The compositional elements of his DNA chain are the same as ours; there's 
   just simply more of them. Tightly packed with infinite genetic knowledge.
   Almost like this being was engineered. @ 0:27 (Note: Head Scientist)
  The compositional elements of his DNA chain are the same as 
   ours... @ 3:28 (Note: Head Scientist)","Void Construct","Dust Angel","Estramay Aleph"
"Fifth Element, The","Wherever there is life, it brings death @ 1:13, 5:56 (Note: Father 
   Cornelius)
  Imagine for a moment that this thing is not anything that can be identified,
   because it prefers not to be. Wherever there is life, it brings death...
   because it is evil. @ 3:39 (Note: Father Cornelius)","Void Construct","Critical Mass","Estramay Aleph"
"Name of the Rose, The","Am Ende meines Lebens angekommen, möchte ich armer Sünder auf diesem
   Pergament Zeugnis ablegen. @ 0:13","Feindflug","Geständnis","Feindflug"
"Name of the Rose, The","Penitenziagitae","Fields Of The Nephilim","Endemoniada","Nephilim, The"
"Name of the Rose, The","[quire singing with crying librarian in foreground] (Note: Pure sound effect)","Fields Of The Nephilim","Last Exit for the Lost","Nephilim, The"
"Name of the Rose, The","'Because you were inspired by the devil?'
   'Yes, that's it. I was inspired by the devil. I am inspired by the devil.
    I command Lucifer. I summon you, Lords of Hell. Alastor <inaudible ranting???>' @ 2:40","Impaled Nazarene","Hate","Ugra Karma (Note: This song also appears on Blackened: The Black Metal Compilation vol. 1)"
"Name of the Rose, The","Kyrie Eleison! (Note: Chanted. Repeated five times)","Lustmord","Fourth and Final Key, The","Monstrous Soul, The"
"Name of the Rose, The","'Because you were inspired by the devil?'
   'Yes, that's it. I was inspired by the devil. I am inspired by the
    devil.' @ 0:00
  (Note: Part of the same quote as used in Impaled Nazarene's Hate)","Marduk","With Satan And Victorious Weapons","World Funeral"
"Name of the Rose, The","[laughing and confused talking in multiple languages by the insane guy throughout the song]","Mikulic, Boris","Angst","Heresy"
"Name of the Rose, The","Der Teufel
  Welchen geheimen Kenntnisse koennte er wohl eingeweiht gewesen sein?
  Seine wolluestigen Annaeherungen in die verbotene, natuerliche Kunst
  [Gregorian chants throughout the song]
  (Note: All from the dubbed German version)","Mikulic, Boris","Secret Knowledge","Heresy"
"Name of the Rose, The","Because without fear of the Devil, there is no more need of God
  Wer keine Angst vor dem Teufel hat, der braucht keinen Gott mehr *
  Koennen wir auch ueber Gott lachen? *
  'Vielleicht weil Du vom Teufel besessen warst?'
   'Ja... das ist der Grund... ich war vom Teufel besessen, ich bin vom
    Teufel besessen, vom Te-e-eu-eu-f-e-l !' *
  'Because you were inspired by the Devil?'
   'Yes... thats it... I was inspired by the Devil. I am inspired by the
    De-e-e-vi-i-i-l! Lucifer! Lucifer, I summon...!' @ 1:02
  Bist Du willens nunmehr dem Teufel abzuschwoeren? *
  [Noises from chains]
  [Gregorian chants throughout the song]
  (Note: * from the dubbed German version)","Mikulic, Boris","Inspired by the Devil","Heresy"
"Name of the Rose, The","[Gregorian chants throughout the song]","Mikulic, Boris","Bitterer Als Der Tod","Heresy"
"No Escape","This place is your holding pen until your death. Because death is the only
   way out. There is no chance of reprieve here; no possibility of escape. You
   are condemned. Either accept it or die. @ 2:24","Argyle Park","Scarred for Life","Misguided"
"No Escape","There is life after death. @ 0:27, 0:35, 0:59, 1:40, 1:46, 2:25, 3:06,
   3:11 (Note: spoken by the Warden)","Decoded Feedback","Bodycell","Bio-Vital"
"No Escape","You want it? Come and get it! @ 1:34","Divine Misfire","Dream Became a Nightmare, The","Dream Became a Nightmare, The"
"No Escape","Sie sind aus allen Teilen der Welt hierher gekommen, weil die Gesellschaft
   keinerlei Verwendung mehr für sie hat. Dieser Bau wird bis zu ihrem Tod ihr
   Zuhause sein. Der Tod ist der einzige Weg hier raus! @ 0:00
  ...und wenn sie nur eine einzige meiner Regeln brechen, dann werden sie
   feststellen, daß es ein Leben nach dem Tode gibt. Ein sehr schmerzhaftes
   Leben. @  3:40
  Entweder sie aktzeptieren das, oder sterben! @ 0:44, 5:09
  (Note: All samples taken from the German dubbed version)","Feindflug","Lagerhaft","1./St.G.3"
"No Escape","You are condemned. Either except it or die. @ 0:53
  Take human garbage from around the world and reprocess it. @ 3:50
  You'll find that there is life after death: a very painful life. @ 4:00
  You are condemned @ 4:09
  You will execute the punishment @ 4:23, 4:26 (Note: This sample is found
   on the live version of Condemned avilable on the Live Wired album. The
   timing is only valid for the live version of Condemned)","Front Line Assembly","Condemned","Hard Wired"
"No Escape","You'll find that there is life after death: a very painful life. @ 1:52
  Life after death... @ 1:56 (Note: Same as above, repeated throughout)
  Human garbage @ 3:23, 3:27, 3:49, 3:59","Front Line Assembly","Mortal","Hard Wired"
"No Escape","It's the electricall impulses that give us away @ 0:34, 7:30
  They got computers in the walls... @ 0:40, 7:35
  Tell them what we're thinking @ 0:45
  Don't think @ 0:48","Noise Unit","Escape","Decoder"
"Altered States","A protohuman, the first truly human form.
  Sensory deprivation, isolation studies.
  Put out your hand, palm up.
  [Aaaggh!]","Cabaret Voltaire","Project 80","Conversation, The"
"Altered States","I feel that my heart has been touched by Christ.","Christian Death","Vita-Voluntaria","Insanus Ultio Proditio Misericordiaque"
"Altered States","I don't know how you feel right now, but the way I feel I don't expect to
   go to sleep for a week... I'm on fucking fire!","Doormouse","Cult of AOL","Distort 2"
"Altered States","The way I feel I don't expect to go asleep for a year.. I'm on fucking fire! @ 3:19","Hallucinogen","Shamanix","Twisted"
"Altered States","The final truth of all things is that there is no final Truth.","Kode IV","Truth","Insane"
"Altered States","'Do you have any special feelings?'
   'I feel like my heart has been touched by christ.' @ 0:00","Meat Shits","Altered States Of Shit","Second Degree Of Torture, The"
"Altered States","I feel that my heart has been touched by Christ.","Ministry","Psalm 69","Psalm 69"
"Altered States","I feel like my heart is being touched by Christ","","",""
"Dark City","First there was darkness, then came the strangers.  They were a race as old as time itself. They had mastered the ultimate technology, the ability to alter physical reality by will alone. They called this ability tuning. They were dying -- their civilization was in decline. And so they had abandoned their world, seeking a cure for their own mortality. Their endless journey brought them to a small, blue world in the farthest corner of the galaxy. @ 0:00, 5:50
  Our world.  @ 0:41, 1:26, 2:53, 4:19, 4:53, 6:29","","",""
"Dark City","Au commencement étaient les ténèbres... Puis vinrent les étrangers Leur race
   venait du fond des temps. Ils avaient maîtrisé l'ultime technologie, la
   capacité de modifier la réalité physique par la seule volonté. Ils
   appelaient cette capacité : synthonisation. Mais, ils mourraient, leur
   civilisation déclinait. Ils abandonnèrent leur monde et cherchèrent un
   remède à leur propre mortalité. Leur interminable voyage les conduisit vers
   un petit monde bleu dans le coin le plus reculé de la galaxie : notre monde.
   Ils pensaient enfin avoir trouvé là ce qu'ils recherchaient. @ 0:00
  (Note: Taken from the French version of the movie)","Melek-Tha","Arrival, The","Sulfurik Vortex, The"
"Dark City","'Qu'est-ce que vous êtes?'
   'Vous avez vu ce que nous sommes. Vos morts nous servent de
    vaisseaux !' @ 0:00","Melek-Tha","Sulfurik Vortex, The","Sulfurik Vortex, The"
"Dark City","It requires several of your lifetimes to master our gifts. The idea that a simple man could develop the ability to tune... @ 0:07 * (Note: Mr. Book)
  'He said he is able to tune.'
   'Impossible!'
   'We have seen it with our own eyes!' @ 0:15 (Note: Various aliens)
  'Everywhere he goes, everyone he seeks out will be known to us.' 'And as he follows the clues, so shall we follow the memories.' @ 0:32 (Note: Soon-to-be-imprinted alien and Mr. Book, slightly pitched)
  But to imprint one of us... @ 0:43 (Note: Doubting alien)
  Imprint @ 1:20, 1:27, 1:34, 1:42, 3:03, 3:10, 3:17, 3:25, 4:32, 4:39, 4:46, 4:54, 5:01, 5:09, 5:16, 5:31 (Note: Mr. Book)
  'It is our capacity for individuality, our souls, that makes us different
    from them. They think they can find the human soul, if they understand how
    our memories work. All they have are collective memories, they share one
    grouped mind. They're dying, you see. Their entire race is on the break of
    extinction. They think, we can save them.'
   'Where do I fit in?'
   'You are different, John. You resisted my attempt to imprint
    you.' @ 3:29 (Note: Dr. P. Schreber and John Murdoch at about 1:08:45 in
   the movie)","Solitary Experiments","Essence of Mind, The","Advance into Unknown"
"Dark City","'I can help you.' 
   'Do you understand me.' 
   'You've seen what we are.' @ 0:03 (Note: Repeated several times)","Static Engine","Victim Club","Submolecular"
"Dark City","First there was darkness, then came the strangers. (Note: Repeated 
   throughout the song)","Tumor","Darkness","Neues Fleisch (Operation 2)"
"Dark City","So it seems you have discovered your unpleasant nature. @ 1:15","Void Construct","Anodyne Impulse","Estramay Aleph"
"Dark City","All these memories have been fabricated, to teach you about the Strangers. 
   Give you a lifetime of knowledge in a single syringe. @ 0:11, 5:45","Void Construct","Construct","Estramay Aleph"
"Manson (Documentary)","The truth has not been in your courtrooms, never has been in your
   courtrooms. All you have is confusion in your courtrooms. Why do I have to
   stand and take the blame for your sins again? I've spent my life in jail,
   paying for you, so that you could ride your bicycle, have your birthday
   parties, have what you'd call a life. You know, I never had a life. I don't
   even know what life is, you know. I go to the desert, I'm not even allowed
   to live in your desert. I'm no good for anything except to be used, as your
   scapegoat. I'm used. Every day of my life, I've been used. When I haven't
   been used, and I have been on the - on the street, I've been chased, run,
   harassed, pushed, kicked, my ribs have been broken. You know, the same man
   that gives you a traffic ticket is the same guy that knocks my brains out.
   He figures just because he's the man, he can get away with it cause nobody's
   gonna say anything. My daddy's not a congressman, a doctor, or a lawyer.
  They are sneaking in the county jail looking under the door to see if the
   man is there. Sneaking like little children out of town. Sneaking all around
   the courthouse. Sneaking in and out of the ventilators. Sneaking everywhere
   Everything is sneaky up around Sneakyville. Everything we have to do to get
   the truth has to be sneaky, and it's even a shame to sneak to get to the
   truth, to make the truth such an evil dirty old nasty thing. You gotta sneak
   to get to the truth; the truth is condemned. The truth is in the gas
   chamber. The truth has been in your stockyards, your slaughterhouses. The
   truth has been in your reservations, building your railroads, emptying your
   garbage. The truth is in your ghettos, and your jails, and your young love.
   Not in your courts or your congress where the old sit judgement on the
   young. What the hell do the old know about the young? You put a picture of
   old George on the dollar and tell ya that he's your father worship him.
  Look at the madness that goes on. You can't prove anything that happened
   yesterday. Now is the only thing that's real. You can try to prove that
   Columbus sailed on an ocean, but it's not the same ocean; it's a different
   ocean. It's a different world. Every day, every reality is a new reality.
   Every new reality is a - is a new horizon, a brand-new experience of living.
   I got a note last night from a friend of mine. He writes in his note that
   he's afraid of what he might have to do in order to save his reality, as I
   saved mine. You can't prove anything; there's nothing to prove. Every man
   judges himself. He knows what he is. You know what you are as I know what I
   am. We all know what we are. Nobody can stand in judgement they can play
   like they're standing in judgement. They can play like they stand in
   judgement and take you off and control the masses with your human body and
   they can lock you up in penitentiaries and cages and put you on crosses like
   they did in the past. But it doesn't amount to anything. What they're doing
   is, they're only persecuting our affliction of themselves. They're
   persecuting what they can't stand to look at in themselves: the truth! They
   can't stand to look at the truth in themselves, they persecute themselves.
   They're butchering themselves every time they go on the freeway. They hate
   themselves. Look at the signs. Stop, go, turn here, turn there, you can't do
   this, you can't do that, you can't, you can't, you can't, this is illegal,
   that's illegal, everything's illegal. The police used to watch over the
   people; now they're watching the people. The president doesn't represent the
   people; he could be on the roadside picking up his children but he isn't. 
   He's in the White House sending them off to war. And you're saying I have to
   pay for this again, and again and again: I've gotta pay for your sins. How
   many times have I gotta pay for your sins? I'm getting tired. I'm getting
   tired.","Coil/Zos Kia","Truth","Transparent"
"Manson (Documentary)","If I started murdering people, there'd be none of ya left. @ 2:53","Dark Funeral","My Dark Desires","Secrets of the Black Arts, The"
"Manson (Documentary)","Whatever's necessary to do, you do it. When somebody needs to be killed, 
   there's no wrong, you do it. And you move on. And you pick up a child
   and you move into the desert. You pick up as many children as you
   can. @ 0:10 (Note: One of the Manson girls)","Electric Hellfire Club, The","Charles in Charge","      TV Terror: Felching a Dead Horse (compilation)"
"Manson (Documentary)","Death is just the most beautiful trip in the world. (Note: Spoken by Paul
   Watkins)","Electric Hellfire Club, The","Satan's Little Helpers","      Satan's Little Helpers (EP)"
"Manson (Documentary)","I used to watch the black bus with this wild guy drivin' who turned out to
   be Charlie. @ 5:09 (Note: Full quote: First of all, I just, I used to
   watch the black bus go up and down Topenga Blvd. Charlie like had this big
   black bus with little, a little box up top that used to tilt over to the 
   side a little bit so it looked like a guy with a, a little black guy with 
   a top hat on. And I saw this bus goin' down the canyon with this wild guy 
   drivin' it who turned out to be Charlie. Spoken by Paul Watkins.)","Electric Hellfire Club, The","Black Bus","Burn, Baby, Burn!"
"Manson (Documentary)","I don't have a life, I don't even know what life is.
  Do You?
  Everyday of my life.","Ministry","Crumbs","Filthpig"
"Manson (Documentary)","Now is the only thing that's real @ 0:27, 0:38, 1:20, 5:14
  The police used to watch over the people, now they're watching the 
   people. @ 0:32
  Do you or don't you / Want me to make you / It's coming down fast /
   But don't let it break you / Tell me tell me tell me the answer /
   You may be a lover but you ain't no dancer. @ 3:13 (Note: Charles Manson
   singing The Beatles' Helter Skelter)
  [guitar riff] (Note: Charles Manson playing guitar to The Beatles Helter
   Skelter)","Skinny Puppy","Worlock","Rabies"
"Manson (Documentary)","The president doesn't represent the people. He should be on the roadside
   picking up his children but he isn't. He's in The White House sending them
   off to war' @ 0:13","Spahn Ranch","Commination","Anthology, 1992-1994"
"Flash Gordon","'What plaything can you offer me today?'
   'An obscure body in the S-K system, your majesty. The inhabitants
    refer to it as the planet... Earth.' 
   'How peaceful it looks.' 
   [computer sound]
   [explosion]
   [both men laughing] 
   'Most effective, your majesty! Will you destroy this Earth?'
   'Later. I like to play with things a while before annihilation.' @ 0:33","Hive","Weapons of Mass Destruction","Devious Methods"
"Flash Gordon","Hurling your bodies out into the void!","Juno Reactor","Luna-tic","Transmissions"
"Flash Gordon","For God's sake @ 2:18
  Hurling your bodies @ 2:52","","",""
"Flash Gordon","Ten...
  Five...
  This is the evolution
  Hear me, <Rilons???>, the green moon of Galan is eclipsed, <Codan Almar???>
   will invade...
  Hurling your bodies out into the void...
  Switch on your...","Nostromo Dept.","Evolution (Original Mix)","Evolution (12")"
"Flash Gordon","'Klytus, I'm bored. What plaything can you offer me today?'
   'An obscure body in the S-K system, your majesty. The inhabitants 
    refer to it as the planet... earth.'
   'How peaceful it looks.'","Orb, The","Earth (Gaia)","Orb's Adventures Beyond the Ultraworld, The"
"Flash Gordon","Seemingly there is no reason for these extraordinary intergalactical upsets
  [laughter]
  What's happening, Flash?
  Only Doctor Hans Zarkov, formerly at NASA, has provided any explanation.
  This mornings unprecedented solar eclipse is no cause for alarm.
  'General Kala, Flash Gordon approaching'
   'What do you mean Flash Gordon approaching?'
  'Open fire' 
   [laser sounds] 
   'Call the weapons' 
   [more laser sounds]
  Dispatch war rocket Ajax to bring back his body
  Gordon's alive!
  Flash, Flash, I love you, we only have fourteen hours to save the earth!","Queen","Flash","Flash Gordon"
"Kohl, Helmut (Bundeskanzler)","Äpfel mit Äpfeln und Birnen mit Birnen @ 0:55, 1:48, 3:14, 3:17, 3:21, 3:22","Horn, Ernst","Äpfel und Birnen","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Ja (Note: Used troughout the song, starting at 0:06)","Horn, Ernst","Traum","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Wie wir da etwas Abbauen können @ 0:40 (Note: Throughout the song)
  Das Ministerium werde ich nicht abbauen @ 2:45
  Konkurrenz um zum Zug zu kommen @ 2:52 (Note: Throughout the song)","Horn, Ernst","Versteigerung Ost","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Da wurde zum ersten mal die Nationalhymne gesungen @ 0:16
  Ich hab dann ein paar Tage später dann auch bei uns zuhause in der 
   Pfalz gehört @ 0:29
  Ich seh heute noch die Gesicher in Landau in dieser Festhalle. Die 
   vielen Älteren, die geweint haben als sie zum ersten mal die Hymne 
   gehört haben. @ 0:35","Horn, Ernst","Die Hymne","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Abgebaut, Schritt für Schritt und zurück mit dem <???> (Note: Used 
   throughout the song, starting at 0:44)
  Kampfgeist, sachverständig (Note: Used throughout the song, starting at 
   0:52)
  <???> noch ein besseres Jahr (Note: Used throughout the song, starting at 
   0:54)","Horn, Ernst","Kampfgeist, Sachverständig","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Dabei hat er sich gewaltig aufgeblasen @ 0:00
  Wir sind kein fremdenfreundliches Land, aber wir sind auch ... aehm ... 
   kein fremdenfeindliches Land @ 0:41","Horn, Ernst","Ausländerfreundlich","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Liebe Landsleute @ 0:00
  Gott segne unser Deutsches Vaterland @ 0:41","Horn, Ernst","Rettung","Johnny Bumms Wake"
"Kohl, Helmut (Bundeskanzler)","Kennen Sie einen Konflikt in der neuen Geschichte der Deutschen @ 0:01
  Es ist deutsche Schuld
  Ich halte es fuer einen unertraeglichen Zustand
  Wie wird es in vierzig Jahren sein?
  'Er war, ah, nie in Kalifornien'
   'never been to california'
   'er war nie in Hollywood aber er versteht was von PR'
   'never in Hollywood, never in California, but he understands something about
    public relation'
   'Goebbels verstand auch was von PR'
   'Goebbels was an expert of public relation'
   '[laughter]'
   'man muss doch die Dinge auf den Punkt bringen'
  Ich habe die Ziele unserer Politik, die Sicherheit der Bundesrepublik 
   Deutschland und des Westens zu wahren, und das West-Ost-Verhaeltnis durch
   ein moeglichst konstruktives Verhaeltnis zur Sowjetunion und den Staaten
   des Warschauer Pakts zu verbessern immer in einem Zusammenhang gesehen.
   Die Bundesregierung tut dies auch im Bewusstsein der Opfer, die die
   Voelker der Sowjetunion durch den Ueberfall Hitlers erlitten haben.
  Es liegt mir fern, General Gorbatsch-, Generalsekretaer Gorbatschow zu nahe
   zu treten oder gar beleidigen zu wollen. Das Interview in Newsweek gibt in
   der entsprechenden Passage Sinn und Inhalt des eineinhalbstuendigen
   Gespraechs nicht korrekt wieder. Dabei ist der falsche Eindruck vermittelt
   worden, ich haette Generalsekretaer Gorbatschow persoenlich mit Goebbels
   vergleichen wollen, das war nicht meine Absicht.
  (Note: The Dialogue is an Excerpt of a Newsweek interview with H. Kohl. The
   english voice in the dialogue is the voice of the translator)","KMFDM","Deutsche Schuld","What Do You Know, Deutschland?"
"One Flew Over The Cuckoo's Nest","What you probably don't realize is that we have a lot of old men on this
   ward who couldn't hear the music if we turned it lower. @ 0:38
  That music is all they have @ 0:45, 3:28 (Note: Repeated several times)","Babyland","Mask","You Suck Crap"
"One Flew Over The Cuckoo's Nest","I'm talking about form. I'm talking about content. I'm talking about
   interrelationships. I'm talking about God, the Devil, Hell, Heaven! Do you
   understand, finally? @ 0:43","Genital-A-Tech","Interface","Hardcore user"
"One Flew Over The Cuckoo's Nest","I'm talking about form. I'm talking about content. I'm talking about 
   interrelationships. I'm talking about God, the Devil, Hell, Heaven! Do you 
   understand, finally?","Greater than One","I Don't Need God","I Don't Need God (12")"
"One Flew Over The Cuckoo's Nest","I'm talking about form. I'm talking about content. I'm talking about   
   interrelationships. I'm talking about God, the Devil, Hell, Heaven! Do you 
   understand, finally? @ 0:00
  Whoh! Huhuhu! @ 0:28 (Note: Jack Nicholson)","Igor","Talking About God","Thunderdome 5 (Compilation)"
"One Flew Over The Cuckoo's Nest","This is the point @ 0:05","Lights of Euphoria","This is the Point","Violent World"
"One Flew Over The Cuckoo's Nest","'In terms of the human relationships, the juxtaposition of one person
    to another, the form and content...'
   'Harding, why don't you knock off the bullshit and get to the point?'
   'This is the point. This is the point, Taber. It's not bullshit. I'm
    not just talking about my wife, I'm talking about my life. I can't
    seem to get that through to you. I'm not just talking about one
    person, I'm talking about everybody! I'm talking about form! I'm
    talking about content! I'm talking about interrelationships! I'm
    talking about God, the devil, hell, heaven! Do you understand?
    Finally?' @ 0:11","Lights of Euphoria","This is the Point","Thought Machine"
"One Flew Over The Cuckoo's Nest","I'm talking about my life. I can't seem to get that through to you.
   I'm not just talking about one person, I'm talking about everybody! I'm
   talking about form! I'm talking about content! I'm talking about
   interrelationships! I'm talking about God, the devil, hell, heaven! Do you
   understand? Finally? @ 0:00","Mastodon","Shadows That Move","Lifesblood"
"One Flew Over The Cuckoo's Nest","Hahahahaha! @ 5:13
  Huhoo, hoo! @ 5:15","Pop Will Eat Itself","Bulletproof!","Looks or the Lifestyle, The"
"Day of the Dead","[music from the film fades in] Hello? Hello? Is anyone there? Hello? Hello?
   Is anyone there? Hello? Is anyone there? @ 0:00 (Note: Repeated and partly
   used at 0:40, 1:00 and 1:29 as well)
  Hello?  @ 2:49, 3:36","Gorillaz","M1 A1","Gorillaz"
"Day of the Dead","[zombie groaning] @ 0:12
  Yeah, yeah I got an alternative. Let's get in that ole' wirlybird there,
   find us an island someplace, get juiced up, and spend what time we got
   left soakin' up some sunshine. @ 1:54","Gorillaz","Hip Albatross","G-Sides"
"Day of the Dead","[man being torn apart by zombies] Choke on 'em! Choke on 'em! @ 5:19","Lord Gore","Breakfast At The Manchester Morgue","Autophagous Orgy, The"
